aoa,cl,ma,re
16.25538318,1.3953053,0.146192971,255840.8765
17.30915526,1.3827674,0.149095083,259643.4228
18.41311712,1.4731798,0.149188761,299577.9371
11.45944386,1.4117053,0.143916722,433035.2247
16.03624533,1.4388262,0.14418131,282168.1535
13.42460519,1.5611239,0.148127768,371342.6547
0.30418067,0.39965199,0.148535306,346071.2681
10.06405941,1.3168512,0.1434127,261633.8525
16.61992617,1.4017115,0.147268846,300844.7202
16.14476593,1.468721,0.141372739,429568.3051
8.574518557,1.216985,0.149359076,434084.5314
16.29212673,1.5738072,0.148581079,375149.8727
19.208196,1.2659528,0.141956172,256318.0813
14.87321105,1.4883155,0.146149545,370898.4381
18.72954663,1.4987604,0.146903191,330873.4074
0.172536088,0.43779394,0.145249443,314430.0933
12.80327852,1.4232855,0.147118845,404048.8321
16.0790544,1.6744169,0.143194294,378943.1466
19.21111196,1.4109451,0.143090809,333591.5887
17.8140999,1.4415088,0.144696068,330826.0938
15.06874,1.6248631,0.148137153,307790.399
17.60657475,1.4728376,0.146873147,356086.8433
16.09826098,1.5804881,0.144083782,348139.9286
1.391017682,0.53712693,0.142315915,279339.2761
18.95569172,1.3525312,0.148448782,240059.3259
12.65351713,1.4179782,0.148890771,348280.4832
12.83453245,1.4480825,0.1443465,346963.6657
2.567573637,0.67120897,0.141575941,263191.9189
14.05380043,1.5711608,0.145959594,311286.111
10.62777833,1.3160322,0.147705581,206859.4753
18.2300233,1.5418395,0.149310189,255722.1282
13.31449615,1.5676244,0.148041225,355779.8785
17.3960691,1.4470783,0.145342711,360625.855
15.75615471,1.6171002,0.14229036,410879.2105
12.73459201,1.4233532,0.146149149,304187.3211
19.62532644,1.2891235,0.147667481,248275.3651
18.2922289,1.4960592,0.148848295,254539.6962
14.6007666,1.6008483,0.148654975,359724.1935
13.24716732,1.4223507,0.143392195,352163.2194
19.59253329,1.4436677,0.141597245,337263.7246
19.72305084,1.4766433,0.143875835,359299.1694
17.54451692,1.6242551,0.142956821,367115.1731
12.9207513,1.4177511,0.146334274,229012.2868
18.35014827,1.5460217,0.142867399,390152.9902
17.72720757,1.621109,0.143264444,396803.1645
18.63563758,1.5458174,0.14527876,326695.3311
14.10249024,1.5805116,0.14166736,425489.7804
12.19936644,1.3981159,0.142140657,278105.9665
14.31416162,1.5592942,0.143723763,343731.3512
19.78105647,1.4150877,0.142426379,365157.1593
15.12661106,1.4519959,0.143847123,296707.3225
16.20157208,1.5382274,0.142936722,206840.5489
17.74413117,1.5143427,0.145560243,357211.7015
17.63863194,1.5270669,0.146496693,267996.8854
18.31677928,1.4884392,0.146369156,344582.2878
16.47102704,1.5032839,0.14245283,286363.6915
19.59979401,1.5839119,0.143512029,413140.109
19.37474093,1.3632639,0.144089981,425121.9642
3.680881864,0.72966992,0.147025974,259964.5678
17.88195679,1.5245686,0.141400047,401497.1409
15.33489968,1.7145335,0.146569655,383250.7959
16.6389779,1.6123051,0.144654853,344215.9205
8.963971173,1.2553918,0.145616512,401908.299
14.43856068,1.6406281,0.146046882,325235.8062
2.138507551,0.61552062,0.142799659,301540.2803
14.45788927,1.5060494,0.146782149,208333.1245
14.58766927,1.4506078,0.143853819,286340.7772
13.23766214,1.457703,0.141578964,364872.3629
12.02393717,1.3870529,0.146761139,371796.3622
18.91147619,1.3329007,0.142751692,269217.3627
1.987093443,0.59963377,0.143475468,322858.1167
12.44270482,1.4584704,0.141101779,258403.5828
18.15808712,1.5996016,0.147734754,376667.3303
6.475363584,1.0217655,0.148067397,269492.8944
15.47727612,1.6234459,0.141339249,342211.1679
18.26274862,1.4088429,0.14360887,262306.6917
14.63977438,1.5101602,0.14833979,260257.5417
13.60132389,1.5536665,0.145268067,428156.2215
6.457389212,1.0209554,0.144683903,317031.0257
17.20742437,1.3245937,0.147593134,268237.2374
15.47416897,1.6111097,0.143641483,242400.1657
12.03918044,1.3215814,0.143361161,254879.2335
19.3039238,1.4032121,0.142210477,416103.2077
1.185800112,0.5396102,0.148192635,357436.7118
17.21243826,1.592477,0.142321394,281706.6194
5.110219388,0.89847754,0.147318419,397360.4418
